Date,Name,Year,Letterboxd URI,Rating
2021-12-28,Joker,2019,https://boxd.it/h4cS,5
2021-12-28,Inception,2010,https://boxd.it/1skk,3
2021-12-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-12-28,The Dark Knight,2008,https://boxd.it/2b0k,5
2021-12-28,Interstellar,2014,https://boxd.it/4VZ8,5
2021-12-28,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2021-12-28,Baby Driver,2017,https://boxd.it/bhF2,2
2021-12-28,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2021-12-28,Spirited Away,2001,https://boxd.it/2b4m,5
2021-12-28,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2021-12-28,The Social Network,2010,https://boxd.it/17ue,5
2021-12-28,Django Unchained,2012,https://boxd.it/2cCk,5
2021-12-28,The Matrix,1999,https://boxd.it/2a1m,2
2021-12-28,Thor: Ragnarok,2017,https://boxd.it/8MHi,5
2021-12-28,Forrest Gump,1994,https://boxd.it/728,5
2021-12-28,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2021-12-28,The Godfather,1972,https://boxd.it/2aNK,4
2021-12-28,Soul,2020,https://boxd.it/ioLA,5
2021-12-28,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2021-12-28,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4
2021-12-28,Up,2009,https://boxd.it/1OEc,4
2021-12-28,BlacKkKlansman,2018,https://boxd.it/hxL8,5
2021-12-28,The Departed,2006,https://boxd.it/28MA,4
2021-12-28,Taxi Driver,1976,https://boxd.it/2b8y,4
2021-12-28,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,4
2021-12-28,Arthur Christmas,2011,https://boxd.it/Cg6,5
2021-12-28,Back to the Future,1985,https://boxd.it/2b8e,5
2021-12-28,Tenet,2020,https://boxd.it/leq4,2
2021-12-28,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2021-12-28,Ratatouille,2007,https://boxd.it/27ww,5
2021-12-28,Casino,1995,https://boxd.it/2ads,3.5
2021-12-29,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,5
2021-12-29,Free Guy,2021,https://boxd.it/k8dm,3
2021-12-29,Gangs of New York,2002,https://boxd.it/25FG,2
2021-12-31,The Pursuit of Happyness,2006,https://boxd.it/28PE,4.5
2022-01-02,Premonition,2007,https://boxd.it/1Xqe,1
2022-01-02,The Incredibles,2004,https://boxd.it/1XLm,3.5
